2020-12-21 11:23:47,426 [DEBUG] Response: 200 https://cloudformation.eu-west-2.amazonaws.com/?Action=DescribeStackResource&StackName=arn%3Aaws%3Acloudformation%3Aeu-west-2%3A657963024342%3Astack%2Fawseb-e-3kpp23zhph-stack%2F0d57f770-0ae8-11e9-9d63-5081eddf4462&Version=2010-05-15&ContentType=JSON&LogicalResourceId=AWSEBAutoScalingGroup [headers: {'x-amzn-requestid': '8c043224-7e9a-4c4d-a0c3-f6fc41e49254', 'date': 'Mon, 21 Dec 2020 11:23:47 GMT', 'content-length': '20314', 'content-type': 'application/json'}]
2020-12-21 11:23:48,179 [DEBUG] Response: 200 https://cloudformation.eu-west-2.amazonaws.com/?Action=DescribeStackResource&StackName=arn%3Aaws%3Acloudformation%3Aeu-west-2%3A657963024342%3Astack%2Fawseb-e-3kpp23zhph-stack%2F0d57f770-0ae8-11e9-9d63-5081eddf4462&Version=2010-05-15&ContentType=JSON&LogicalResourceId=AWSEBAutoScalingGroup [headers: {'x-amzn-requestid': 'd3da0aac-f16f-4cc3-bd6b-9ef074df8d73', 'date': 'Mon, 21 Dec 2020 11:23:47 GMT', 'content-length': '20314', 'content-type': 'application/json'}]
2020-12-21 11:23:56,341 [DEBUG] Response: 200 https://cloudformation.eu-west-2.amazonaws.com/?Action=DescribeStackResource&StackName=arn%3Aaws%3Acloudformation%3Aeu-west-2%3A657963024342%3Astack%2Fawseb-e-3kpp23zhph-stack%2F0d57f770-0ae8-11e9-9d63-5081eddf4462&Version=2010-05-15&ContentType=JSON&LogicalResourceId=AWSEBAutoScalingGroup [headers: {'x-amzn-requestid': 'bba63331-b7ab-41f5-9054-a66656261675', 'date': 'Mon, 21 Dec 2020 11:23:55 GMT', 'content-length': '20314', 'content-type': 'application/json'}]
2020-12-21 11:24:24,780 [DEBUG] Response: 200 https://cloudformation.eu-west-2.amazonaws.com/?Action=DescribeStackResource&StackName=arn%3Aaws%3Acloudformation%3Aeu-west-2%3A657963024342%3Astack%2Fawseb-e-3kpp23zhph-stack%2F0d57f770-0ae8-11e9-9d63-5081eddf4462&Version=2010-05-15&ContentType=JSON&LogicalResourceId=AWSEBAutoScalingGroup [headers: {'x-amzn-requestid': '54198144-1a04-421c-926b-1fc473871db1', 'date': 'Mon, 21 Dec 2020 11:24:24 GMT', 'content-length': '20314', 'content-type': 'application/json'}]
2020-12-31 10:22:38,342 [DEBUG] Response: 200 https://cloudformation.eu-west-2.amazonaws.com/?Action=DescribeStackResource&StackName=arn%3Aaws%3Acloudformation%3Aeu-west-2%3A657963024342%3Astack%2Fawseb-e-3kpp23zhph-stack%2F0d57f770-0ae8-11e9-9d63-5081eddf4462&Version=2010-05-15&ContentType=JSON&LogicalResourceId=AWSEBAutoScalingGroup [headers: {'x-amzn-requestid': '01fc3327-0788-4f24-983b-25f811149d66', 'date': 'Thu, 31 Dec 2020 10:22:38 GMT', 'content-length': '20314', 'content-type': 'application/json'}]
2020-12-31 10:22:39,013 [DEBUG] Response: 200 https://cloudformation.eu-west-2.amazonaws.com/?Action=ElectCommandLeader&StackName=arn%3Aaws%3Acloudformation%3Aeu-west-2%3A657963024342%3Astack%2Fawseb-e-3kpp23zhph-stack%2F0d57f770-0ae8-11e9-9d63-5081eddf4462&ContentType=JSON&CommandName=ElasticBeanstalkCommand-AWSEBAutoScalingGroup&InvocationId=a7900ac2-0712-46c9-bb4a-1bfca1f0b43b [headers: {'x-amzn-requestid': '07498f10-9f4a-43b8-af6e-6ca8cb46e01f', 'date': 'Thu, 31 Dec 2020 10:22:38 GMT', 'content-length': '168', 'content-type': 'application/json'}]
2020-12-31 10:22:40,501 [DEBUG] Response: 200 https://cloudformation.eu-west-2.amazonaws.com/?Action=DescribeStackResource&StackName=arn%3Aaws%3Acloudformation%3Aeu-west-2%3A657963024342%3Astack%2Fawseb-e-3kpp23zhph-stack%2F0d57f770-0ae8-11e9-9d63-5081eddf4462&Version=2010-05-15&ContentType=JSON&LogicalResourceId=AWSEBAutoScalingGroup [headers: {'x-amzn-requestid': 'fa2b8ef9-049e-4e0b-86ac-881b9a793b8c', 'date': 'Thu, 31 Dec 2020 10:22:39 GMT', 'content-length': '20314', 'content-type': 'application/json'}]
2020-12-31 10:23:14,544 [DEBUG] Response: 200 https://cloudformation.eu-west-2.amazonaws.com/?Action=DescribeStackResource&StackName=arn%3Aaws%3Acloudformation%3Aeu-west-2%3A657963024342%3Astack%2Fawseb-e-3kpp23zhph-stack%2F0d57f770-0ae8-11e9-9d63-5081eddf4462&Version=2010-05-15&ContentType=JSON&LogicalResourceId=AWSEBAutoScalingGroup [headers: {'x-amzn-requestid': '60d6340e-bc84-4758-91df-039ced97b095', 'date': 'Thu, 31 Dec 2020 10:23:14 GMT', 'content-length': '20314', 'content-type': 'application/json'}]
2020-12-31 10:37:15,539 [DEBUG] Response: 200 https://cloudformation.eu-west-2.amazonaws.com/?Action=DescribeStackResource&StackName=arn%3Aaws%3Acloudformation%3Aeu-west-2%3A657963024342%3Astack%2Fawseb-e-3kpp23zhph-stack%2F0d57f770-0ae8-11e9-9d63-5081eddf4462&Version=2010-05-15&ContentType=JSON&LogicalResourceId=AWSEBAutoScalingGroup [headers: {'x-amzn-requestid': '7dbdb0ba-f18e-4f27-b218-5f191df25cce', 'date': 'Thu, 31 Dec 2020 10:37:14 GMT', 'content-length': '20314', 'content-type': 'application/json'}]
2020-12-31 10:37:16,920 [DEBUG] Response: 200 https://cloudformation.eu-west-2.amazonaws.com/?Action=ElectCommandLeader&StackName=arn%3Aaws%3Acloudformation%3Aeu-west-2%3A657963024342%3Astack%2Fawseb-e-3kpp23zhph-stack%2F0d57f770-0ae8-11e9-9d63-5081eddf4462&ContentType=JSON&CommandName=ElasticBeanstalkCommand-AWSEBAutoScalingGroup&InvocationId=8111f682-6647-4d44-bc6c-305607af09e6 [headers: {'x-amzn-requestid': 'b84fb2c4-893d-468c-b75d-d8e5bcca0cf3', 'date': 'Thu, 31 Dec 2020 10:37:16 GMT', 'content-length': '168', 'content-type': 'application/json'}]
2020-12-31 10:37:19,431 [DEBUG] Response: 200 https://cloudformation.eu-west-2.amazonaws.com/?Action=DescribeStackResource&StackName=arn%3Aaws%3Acloudformation%3Aeu-west-2%3A657963024342%3Astack%2Fawseb-e-3kpp23zhph-stack%2F0d57f770-0ae8-11e9-9d63-5081eddf4462&Version=2010-05-15&ContentType=JSON&LogicalResourceId=AWSEBAutoScalingGroup [headers: {'x-amzn-requestid': '28093423-3e16-436d-8b49-f60c0f365d94', 'date': 'Thu, 31 Dec 2020 10:37:18 GMT', 'content-length': '20314', 'content-type': 'application/json'}]
